CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC
H0CA52034,"LINNELL, TERRI RUTH",REP,2012,CA,H,50,C,N,C00477000
H0CA53024,"ARRINGTON, RANDALL STEVEN PHD",REP,2010,CA,H,53,C,N,C00469916
H0CO01086,"STANDLEY, KELLY D",REP,2010,CO,H,1,C,N,C00482331
H0CO01094,"STYSKAL, CHRISTOPHER THOMAS",CST,2010,CO,H,1,C,N,C00483776
H0CO04114,"LUCERO, THOMAS JOSEPH",REP,2010,CO,H,4,C,P,C00457879
H0CO04122,"GARDNER, CORY",REP,2014,CO,H,4,I,C,C00492454
H0CO06069,"CANTER, DAVID",DEM,2010,CO,H,6,C,P,C00456996
H0CO07042,"SHEELY, MICHEL L",REP,2010,CO,H,7,C,N,C00469593
H0CO07067,"SIAS, LANGHORNE C",REP,2010,CO,H,7,C,P,C00471516
H0CT02140,"NOVAK, DARIA IRENE",REP,2012,CT,H,2,C,P,C00461012
H0CT03072,"DELAURO, ROSA L",DEM,2014,CT,H,3,I,C,C00238865
H0CT03106,"LABRIOLA, JERRY JR.",REP,2010,CT,H,3,C,P,C00467969
H0CT03122,"CHENEY, JEFFREY M",REP,2010,CT,H,3,C,N,C00479790
H0CT04138,"MERKLE, ROBERT",REP,2010,CT,H,4,C,P,C00465047
H0CT04146,"DEBICELLA, DAN",REP,2014,CT,H,4,C,C,C00549527
H0CT04161,"TORRES, ENRIQUE RAUL",REP,2010,CT,H,4,C,P,C00469692
H0CT04179,"HERRMANN, THOMAS A",REP,2010,CT,H,4,C,P,C00479006
H0CT05119,"BERNIER, JUSTIN",REP,2012,CT,H,5,O,P,C00461053
H0CT05127,"PISTONE, JOHN",REP,2014,CT,H,5,C,N,C00462663
H0CT05150,"GREENBERG, MARK",REP,2014,CT,H,5,C,C,C00493395
H0DC00058,"NORTON, ELEANOR HOLMES",DEM,2014,DC,H,0,I,C,C00244335
H0DC00165,"MALONE, JOAN F M",REP,2010,DC,H,0,C,N,C00484477
H0DC00215,"LEE, MICHAEL AGUSTUS (MATTHEW) ",DEM,2014,DC,H,0,C,N,C00552224
H0DE00068,"MILLER, MICHEAL CARLTON SR",DEM,2008,DE,H,0,C,N,C00455006
H0DE00118,"CAMPBELL, DOUGLAS ALLEN JR",CON,2010,DE,H,0,O,N,C00472902
H0DE01017,"CARNEY, JOHN",DEM,2014,DE,H,0,I,C,C00460899
H0DE01025,"IZZO, ROSE",REP,2014,DE,H,0,C,C,C00548040
H0DE01033,"URQUHART, GLEN",REP,2010,DE,H,0,O,P,C00476309
H0FL00023,"KRAUSE, JOHN E",REP,2014,FL,H,1,C,C,C00466060
H0FL02086,"LAWSON, ALFRED J JR",DEM,2012,FL,H,2,C,P,C00460261
H0FL02110,"SOUTHERLAND, WILLIAM STEVE II",REP,2014,FL,H,2,I,C,C00468959
H0FL02136,"NETHERWOOD, RAYMOND HEATH",LIB,2014,FL,H,19,C,C,C00545491
H0FL03076,"MARTIN-BACK, TERRY L",NPA,2010,FL,H,3,C,P,C00467704
H0FL03084,"ANNARUMMA, JOHN",UNK,2010,FL,H,6,C,N,C00469387
H0FL03092,"MACNAUGHTON, GEORGE SCOTT",LIB,2010,FL,H,3,C,N,C00469288
H0FL03100,"KOLB, EUNA LEANNE",REP,2012,FL,H,5,C,P,C00479030
H0FL03118,"BLACK, DEAN A",REP,2010,FL,H,3,C,P,C00481739
H0FL03134,"NWASIKE, C CHRISTIAN",REP,2010,FL,H,3,C,P,C00483735
H0FL04033,"PUESCHEL, DEBORAH KATZ",W,2014,FL,H,4,C,N,C00346767
H0FL04066,"CRENSHAW, ANDER",REP,2014,FL,H,4,I,C,C00352849
H0FL04116,"KONIZ, GARY L",NPA,2014,FL,H,4,C,C,C00566687
H0FL05139,"NUGENT, RICHARD B",REP,2014,FL,H,11,I,C,C00482281
H0FL06061,"YOST, MICHAEL F ''MIKE'' F.",REP,2012,FL,H,3,C,P,C00462515
H0FL06079,"SCHONBERG, STEVE",DEM,2012,FL,H,11,C,N,C00519439
H0FL07077,"BEAVEN, HEATHER M",DEM,2012,FL,H,6,C,P,C00515106
H0FL08067,"HERING, ROBERT (BOB) NELSON JR",REP,2008,FL,H,8,C,P,C00347047
H0FL08125,"GUTIERREZ, ARMANDO JR",REP,2010,FL,H,8,C,P,C00468983
H0FL08141,"BROWN, PRINCE",REP,2010,FL,H,8,C,N,C00472936
H0FL08166,"GERRITZEN, STEVEN J",UNK,2010,FL,H,8,C,N,C00475459
H0FL08174,"ODONOGHUE, WILLIAM BRUCE",REP,2010,FL,H,8,C,P,C00475517
H0FL08190,"BIELING, ROSS PARKER",REP,2010,FL,H,8,C,P,C00481184
H0FL08208,"WEBSTER, DANIEL",REP,2014,FL,H,10,I,C,C00481911
H0FL08216,"METCALFE, GEORGE L",IND,2010,FL,H,8,C,P,C00483180
H0FL09065,"HINDAHL, PHIL",DEM,2010,FL,H,9,C,P,C00483511
H0FL11137,"KELLER, SCOTT THOMAS",REP,2010,FL,H,11,C,N,C00458711
H0FL11152,"BUNTYN, TONY",REP,2010,FL,H,11,C,P,C00468363
H0FL11186,"CURTIS, TIMOTHY LYNN",DEM,2010,FL,H,11,C,P,C00483099
H0FL12101,"ROSS, DENNIS ALAN",REP,2014,FL,H,15,I,C,C00459461
H0FL12127,"SNIDER, THOMAS K",LIB,2010,FL,H,12,O,N,C00461566
H0FL12168,"OSINSKI, JOHN V",IND,2010,FL,H,12,O,N,C00473728
H0FL14065,"ROACH, JAMES LLOYD",DEM,2012,FL,H,19,O,P,C00471177
H0FL14073,"ST CLAIRE, WILLIAM MAVERICK",UNK,2010,FL,H,14,C,P,C00482190
H0FL15054,"ROBERTS, SHANNON",DEM,2012,FL,H,8,C,P,C00468488
H0FL16052,"HORN, JIM",DEM,2012,FL,H,18,C,P,C00478818
H0FL17043,"ROBERSON, YOLLY",DEM,2010,FL,H,17,O,P,C00464594
H0FL17068,"WILSON, FREDERICA S",DEM,2014,FL,H,24,I,C,C00460055
H0FL17076,"BRUTUS, PHILLIP J",DEM,2010,FL,H,17,O,P,C00461343
H0FL17100,"ADAM, LEROY",DEM,2010,FL,H,17,O,N,C00463455
H0FL17118,"MOISE, RUDOLPH",DEM,2012,FL,H,24,C,P,C00468652
H0FL17134,"POITIER, COREY B",REP,2010,FL,H,17,O,P,C00481770
H0FL17142,"BUSH, JAMES III",DEM,2010,FL,H,17,O,N,C00486456
H0FL18025,"ROS-LEHTINEN, ILEANA",REP,2014,FL,H,27,I,C,C00280537
H0FL19049,"RUIZ, JOSE M",DEM,2010,FL,H,19,C,N,C00459768
H0FL19080,"DEUTCH, THEODORE ELIOT",DEM,2014,FL,H,21,I,C,C00469163
H0FL20054,"SCHOCK, CLAYTON JAMES",OTH,2010,FL,H,20,C,N,C00468645
H0FL20070,"HARRINGTON, KAREN",REP,2014,FL,H,23,C,C,C00474478
H0FL20104,"BLUMENTHAL, STANLEY",OTH,2012,FL,H,25,C,P,C00525014
H0FL24049,"ADAMS, SANDY",REP,2012,FL,H,7,C,P,C00463877
H0FL24064,"LONG, OMETRIAS DEON",REP,2010,FL,H,24,C,P,C00465773
H0FL24072,"HEINZELMAN, JAMES P SR",REP,2010,FL,H,24,C,N,C00466128
H0FL24098,"SINCLAIR, LARRY",UNK,2010,FL,H,24,C,N,C00470229
H0FL24148,"MILLER, CRAIG S",REP,2012,FL,H,6,C,P,C00512442
H0FL24155,"DEDELOW, EDWARD W",REP,2010,FL,H,24,C,N,C00480343
H0FL24163,"ROSS, BEN",REP,2010,FL,H,24,C,N,C00480970
H0FL24171,"RUIZ, NICHOLAS III",DEM,2014,FL,H,9,C,C,C00492330
H0FL25012,"RIVERA, LUIS ANTONIO",DEM,2010,FL,H,25,O,N,C00468942
H0FL25020,"PORTER, CRAIG",OTH,2010,FL,H,25,O,P,C00474015
H0FL25038,"RIVERA, DAVID",REP,2014,FL,H,26,C,C,C00477356
H0FL25046,"CRESPO, PAUL L",REP,2010,FL,H,25,O,P,C00477877
H0FL25079,"ARROJO, JOSE ROLANNDO",DEM,2010,FL,H,25,O,N,C00486167
H0GA02225,"ADAMS, RHUEDOLPH 'RUDY'",REP,2010,GA,H,2,C,N,C00475939
H0GA04023,"LINDER, JOHN",REP,2010,GA,H,7,,P,C00255976
H0GA04106,"ARMENDARIZ, VICTOR",REP,2010,GA,H,4,C,N,C00482075
H0GA07125,"HICE, JODY",REP,2014,GA,H,10,O,C,C00544445
H0GA07133,"WOODALL, ROB REP.",REP,2014,GA,H,7,I,C,C00482307
H0GA07141,"MALONE, WILLIAM F JR",REP,2010,GA,H,7,O,N,C00482398
H0GA07174,"KIRBY, LESTER THOMAS",REP,2010,GA,H,7,O,P,C00483172
H0GA08032,"MARSHALL, JIM",DEM,2010,GA,H,8,C,P,C00347716
H0GA08040,"DELOACH, KENNETH RAY JR",REP,2012,GA,H,2,C,P,C00524975
H0GA08057,"RISH, WILLIAM PAUL",REP,2010,GA,H,8,C,N,C00469536
H0GA08073,"MEYERS, VALERIE SARGENT",REP,2010,GA,H,8,C,N,C00475780
H0GA08081,"VANN, DIANE ELIZABETH SWANSON",REP,2014,GA,H,12,C,C,C00553214
H0GA08099,"SCOTT, JAMES AUSTIN",REP,2014,GA,H,8,I,C,C00482737
H0GA09030,"GRAVES, JOHN THOMAS MR. JR.",REP,2014,GA,H,14,I,C,C00462556
H0GA09063,"JONES, JEREMY EDWARD",REP,2010,GA,H,9,O,N,C00463166
H0GA09089,"HAWKINS, B LEE",REP,2010,GA,H,9,C,P,C00465617
H0GA09139,"DOOLEY, THOMAS EUGENE",REP,2010,GA,H,9,O,N,C00473462
H0GA10228,"CATES, CHRISTOPHER U MD",REP,2010,GA,H,9,C,P,C00470393
H0GA10236,"UNTERMYER, SAMUEL III 'SANDY'",DEM,2010,GA,H,10,C,N,C00479014
H0GA13016,"SLEEPER, SONJA",REP,2010,GA,H,13,C,N,C00459826
H0GA13032,"CRANE, MICHAEL ROBERT",REP,2010,GA,H,13,C,P,C00476457
H0GA13081,"MURPHY, MIKE",DEM,2010,GA,H,13,C,P,C00482844
H0GA13099,"FLANEGAN, CHARLES EDWARD JR",REP,2014,GA,H,3,C,C,C00483362
H0HI01058,"MATSUNAGA, MATTHEW",DEM,2006,HI,H,2,C,P,C00426221
H0HI01157,"DJOU, CHARLES K",REP,2014,HI,H,1,O,C,C00558833
H0HI01165,"DEL CASTILLO, RAFAEL GOODWIN",DEM,2012,HI,H,2,O,P,C00478974
H0HI01181,"BROWNE, VINNY",DEM,2010,HI,H,1,O,N,C00479709
H0HI02130,"SONN, ANDREW VON",IND,2010,HI,H,2,C,N,C00485086
H0IA01117,"LANGE, BEN",REP,2012,IA,H,1,C,P,C00510529
H0IA01133,"JOHNSON, WILL",REP,2010,IA,H,1,C,N,C00483610
H0IA02099,"RATHJE, STEVEN RICHARD",REP,2014,IA,H,1,O,C,C00542316
H0IA02107,"SICARD, GARY JOSEPH",LIB,2010,IA,H,2,C,N,C00488171
H0IA02123,"TACK, JONATHAN JAY",OTH,2010,IA,H,2,C,N,C00484063
H0IA03121,"GIBBONS, JIM",REP,2010,IA,H,3,C,P,C00470823
H0IA03139,"ZAUN, BRAD",REP,2014,IA,H,3,O,C,C00556183
H0IA03162,"WELCH, JASON LEE",REP,2010,IA,H,3,C,N,C00476242
H0IA03170,"BATCHER, SCOTT",REP,2012,IA,H,2,C,N,C00514075
H0IA05092,"CAMPBELL, MATTHEW",DEM,2010,IA,H,5,C,P,C00473959
H0ID01253,"LABRADOR, RAUL R. REP.",REP,2014,ID,H,1,I,C,C00470948
H0ID01261,"CHADWICK, MICHAEL L",REP,2010,ID,H,1,C,N,C00478115
H0ID01279,"WASHBURN, MICHAEL JAMES",LIB,2010,ID,H,1,C,N,C00479055
H0ID02061,"HEILESON, MARVIN CHARLES",REP,2012,ID,H,2,C,P,C00521526
H0ID02095,"BURTON, KATHERINE",REP,2010,ID,H,2,C,N,C00481796
H0IL00014,"JOHNSON, KENNETH LAMAR",DEM,2010,IL,H,0,O,N,C00469452
H0IL01095,"TROTTER, DONNE E",DEM,2013,IL,H,2,O,C,C00539692
H0IL01137,"SMITH, FREDERICK",DEM,2012,IL,H,1,C,N,C00460949
H0IL01145,"GUILLEMETTE, JOANNE",DEM,2010,IL,H,1,C,N,C00470922
H0IL01152,"BAILEY, HAROLD L.",DEM,2012,IL,H,1,C,N,C00511345
H0IL02101,"HAYES, ISAAC C",REP,2010,IL,H,2,C,P,C00465138
H0IL05096,"QUIGLEY, MIKE",DEM,2014,IL,H,5,I,C,C00457556
H0IL05104,"VARTANIAN, JOEY",DEM,2009,IL,H,5,O,N,C00458703
H0IL05112,"VASQUEZ, ISRAEL C",DEM,2009,IL,H,5,O,N,C00457721
H0IL05187,"STEWART, JON",DEM,2010,IL,H,1,C,N,C00458323
H0IL05229,"THOMPSON, ROGER",DEM,2009,IL,H,5,O,N,C00458786
H0IL05237,"ANDERSON, DAVID JOHN",LIB,2010,IL,H,7,C,N,C00458687
H0IL05245,"BEDELL, GREGORY A",REP,2009,IL,H,5,O,N,C00459487
H0IL05252,"KAY, DANIEL S (KARKUSIEWICZ)",REP,2009,IL,H,5,O,N,C00458919
H0IL05294,"KHAN, MOHAMMADALI D",DEM,2009,IL,H,5,O,N,C00458497
H0IL07126,"WEIMAN, MARK M",REP,2010,IL,H,7,C,N,C00471805
H0IL08074,"GEISSLER, CHRISTOPHER TODD",REP,2010,IL,H,8,C,P,C00467423
H0IL08090,"WALSH, JOE",REP,2012,IL,H,8,C,P,C00473579
H0IL08116,"DAWSON, JOHN",REP,2010,IL,H,8,C,N,C00473231
H0IL08124,"JACOBS, GREGORY S",REP,2010,IL,H,8,C,N,C00473439
H0IL09064,"POLLAK, JOEL BARRY",REP,2010,IL,H,9,C,P,C00467027
H0IL09080,"ATANUS, SUSANNE",REP,2014,IL,H,9,C,N,
H0IL10120,"KIRK, MARK STEVEN",REP,2010,IL,H,10,C,P,C00350785
H0IL10302,"DOLD, ROBERT JAMES JR",REP,2014,IL,H,10,C,C,C00465971
H0IL10310,"HAMANN, PAUL",REP,2010,IL,H,10,O,N,C00468397
H0IL10328,"SUMPTION, MILTON J",DEM,2010,IL,H,10,O,P,C00469940
H0IL10336,"FRIEDMAN, ARIE STEPHEN",REP,2010,IL,H,10,O,P,C00472191
H0IL11052,"KINZINGER, ADAM",REP,2014,IL,H,16,I,C,C00458877
H0IL12084,"NEWMAN, TERI",REP,2012,IL,H,12,O,N,C00490532
H0IL14080,"HULTGREN, RANDY",REP,2014,IL,H,14,I,C,C00467522
H0IL15053,"JOHNSON, TIMOTHY V",REP,2012,IL,H,13,C,P,C00350421
H0IL15087,"SPRADLIN, SAMUEL THOMAS",REP,2012,IL,H,15,C,N,C00462911
H0IL16085,"MANZULLO, DONALD A.",REP,2012,IL,H,16,C,P,C00252973
H0IL17059,"SCHILLING, ROBERT T.",REP,2014,IL,H,17,C,C,C00459354
H0IL18040,"RAY, CARL DOUGLAS",DEM,2010,IL,H,18,C,N,C00462507
H0IL19048,"FIRSCHING, MICHAEL",REP,2014,IL,H,13,C,N,C00481226
H0IN01077,"PASTORE, ROBERT A",REP,2010,IN,H,1,C,P,C00477166
H0IN01101,"DOMBKOWSKI, ADAM ALAN",REP,2010,IN,H,1,C,N,C00482901
H0IN02125,"MESSER, ALLEN LUCAS",REP,2014,IN,H,6,I,C,C00460667
H0IN02190,"WALORSKI SWIHART, JACKIE",REP,2014,IN,H,2,I,C,C00468579
H0IN03131,"GRUBB, RACHEL",REP,2010,IN,H,3,C,N,C00463471
H0IN03198,"STUTZMAN, MARLIN A",REP,2014,IN,H,0,I,C,C00484683
H0IN04170,"ROKITA, THEODORE EDWARD",REP,2014,IN,H,4,I,C,C00476192
H0IN04188,"HIGHT, MICHAEL C (MIKE)",NNE,2010,IN,H,4,O,N,C00476473
H0IN04287,"STEFFEN , PHILLIP J",REP,2010,IN,H,4,O,P,C00483602
H0IN05078,"BRIZZI, CARL J",REP,2010,IN,H,5,C,P,C00459396
H0IN05169,"REID, RICHARD ANDREW",LIB,2012,IN,H,5,O,P,C00483057
H0IN07157,"MAY, CARLOS ANDREW",REP,2012,IN,H,7,C,P,C00513119
H0IN08114,"BUCSHON, LARRY D.",REP,2014,IN,H,8,I,C,C00468256
H0IN08122,"MAHONEY, BILLY JOSEPH",REP,2010,IN,H,8,O,N,C00474346
H0IN08130,"CUNNINGHAM, JOHN WAYNE",LIB,2010,IN,H,8,O,N,C00474742
H0IN09070,"YOUNG, TODD CHRISTOPHER",REP,2014,IN,H,9,I,C,C00459255
H0IN09088,"HANKINS, TRAVIS",REP,2012,IN,H,6,C,P,C00460683
H0IN09104,"MCCLURE, JAMES R. JR",DEM,2014,IN,H,9,C,N,
H0IN09138,"KNOTT, GREG S",LIB,2010,IN,H,9,C,N,C00491068
